,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,277.061,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.058,-0.02,276.951,119.98,277.003,-120.04
0,277.015,-0.04,276.94,119.95,277.037,-120.06
0,276.93,-0.03,276.975,119.93,277.085,-120.04
0,276.958,-0.1,277.002,119.9,276.97,-120.09
0,276.926,-0.15,277.041,119.87,276.922,-120.12
0,276.996,-0.09,276.976,119.91,276.971,-120.09
0,277.004,-0.18,276.933,119.84,276.893,-120.18
0,276.995,-0.14,276.956,119.87,276.934,-120.14
0,276.934,-0.19,276.925,119.8,276.936,-120.2
0,276.952,-0.19,276.931,119.81,276.923,-120.19
0,276.968,-0.18,276.936,119.82,276.912,-120.19
0,276.948,-0.19,276.929,119.81,276.926,-120.19
0,276.855,-0.16,276.848,119.78,277.098,-120.19
0,276.935,-0.18,276.9,119.81,276.975,-120.19
0,276.855,-0.2,276.87,119.76,277.029,-120.22
0,276.874,-0.17,276.918,119.8,277.021,-120.18
0,276.949,-0.16,276.904,119.83,276.979,-120.18
0,276.9,-0.18,276.878,119.79,277.016,-120.2
0,276.901,-0.2,276.917,119.79,276.956,-120.2
